feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC,_row
0610005C13Rik,Group,0.2283,0.4434,DMSO,DESeq2,DMSO vs T4400,1.6889,0.7561,0610005C13Rik
0610007P14Rik,Group,0.9514,0.977,T4400,DESeq2,DMSO vs T4400,0.9968,-0.0046,0610007P14Rik
0610009B22Rik,Group,0.4225,0.6334,DMSO,DESeq2,DMSO vs T4400,1.0412,0.0582,0610009B22Rik
0610009L18Rik,Group,0.1608,0.3565,DMSO,DESeq2,DMSO vs T4400,1.3404,0.4227,0610009L18Rik
0610009O20Rik,Group,0.1181,0.2943,T4400,DESeq2,DMSO vs T4400,0.9272,-0.1091,0610009O20Rik
0610010F05Rik,Group,0.2456,0.4638,DMSO,DESeq2,DMSO vs T4400,1.1302,0.1766,0610010F05Rik
0610010K14Rik,Group,0.2643,0.486,T4400,DESeq2,DMSO vs T4400,0.9443,-0.0827,0610010K14Rik
0610011F06Rik,Group,0.1074,0.277,T4400,DESeq2,DMSO vs T4400,0.895,-0.16,0610011F06Rik
0610012G03Rik,Group,0.6812,0.8226,DMSO,DESeq2,DMSO vs T4400,1.0284,0.0403,0610012G03Rik
0610030E20Rik,Group,0.9751,0.9874,DMSO,DESeq2,DMSO vs T4400,1.002,0.0029,0610030E20Rik
0610037L13Rik,Group,0.1099,0.2811,T4400,DESeq2,DMSO vs T4400,0.9091,-0.1375,0610037L13Rik
0610038B21Rik,Group,0.6145,0.7791,DMSO,DESeq2,DMSO vs T4400,1.1777,0.236,0610038B21Rik
0610040B10Rik,Group,0.9743,0.9872,T4400,DESeq2,DMSO vs T4400,0.9906,-0.0136,0610040B10Rik
0610040J01Rik,Group,0.1831,0.3875,DMSO,DESeq2,DMSO vs T4400,4.9512,2.3078,0610040J01Rik
1110001J03Rik,Group,0.0415,0.152,T4400,DESeq2,DMSO vs T4400,0.8165,-0.2925,1110001J03Rik
1110002L01Rik,Group,0.7203,0.8482,T4400,DESeq2,DMSO vs T4400,0.9543,-0.0675,1110002L01Rik
1110004E09Rik,Group,0.5486,0.7316,DMSO,DESeq2,DMSO vs T4400,1.0561,0.0788,1110004E09Rik
1110004F10Rik,Group,0.0604,0.1932,T4400,DESeq2,DMSO vs T4400,0.8871,-0.1728,1110004F10Rik
1110006O24Rik,Group,0.8719,0.939,DMSO,DESeq2,DMSO vs T4400,1.059,0.0827,1110006O24Rik
1110007C09Rik,Group,0.0245,0.1081,DMSO,DESeq2,DMSO vs T4400,1.1803,0.2392,1110007C09Rik
1110008F13Rik,Group,0.7504,0.8679,DMSO,DESeq2,DMSO vs T4400,1.0248,0.0353,1110008F13Rik
1110008L16Rik,Group,0.5528,0.7349,DMSO,DESeq2,DMSO vs T4400,1.0283,0.0403,1110008L16Rik
1110008P14Rik,Group,0.3867,0.603,DMSO,DESeq2,DMSO vs T4400,1.0635,0.0889,1110008P14Rik
1110012L19Rik,Group,0.5364,0.7229,DMSO,DESeq2,DMSO vs T4400,1.0604,0.0846,1110012L19Rik
1110019D14Rik,Group,0.7019,0.8357,DMSO,DESeq2,DMSO vs T4400,1.0602,0.0844,1110019D14Rik
1110020A21Rik,Group,0.5708,0.7485,DMSO,DESeq2,DMSO vs T4400,1.2105,0.2756,1110020A21Rik
1110032A03Rik,Group,0.6998,0.8344,T4400,DESeq2,DMSO vs T4400,0.9716,-0.0416,1110032A03Rik
1110034G24Rik,Group,0.0502,0.1726,DMSO,DESeq2,DMSO vs T4400,1.2011,0.2643,1110034G24Rik
1110037F02Rik,Group,0.7511,0.8682,DMSO,DESeq2,DMSO vs T4400,1.018,0.0258,1110037F02Rik
1110038B12Rik,Group,0.0279,0.1185,DMSO,DESeq2,DMSO vs T4400,1.19,0.2509,1110038B12Rik
1110038F14Rik,Group,0.4246,0.6352,T4400,DESeq2,DMSO vs T4400,0.9618,-0.0562,1110038F14Rik
1110046J04Rik,Group,0.6676,0.8137,T4400,DESeq2,DMSO vs T4400,0.96,-0.0589,1110046J04Rik
1110051M20Rik,Group,0.3385,0.5598,T4400,DESeq2,DMSO vs T4400,0.9564,-0.0642,1110051M20Rik
1110059E24Rik,Group,0.1226,0.3012,T4400,DESeq2,DMSO vs T4400,0.9068,-0.1411,1110059E24Rik
1110059G10Rik,Group,0.2343,0.4509,DMSO,DESeq2,DMSO vs T4400,1.1035,0.142,1110059G10Rik
1110065P20Rik,Group,0.0732,0.2174,T4400,DESeq2,DMSO vs T4400,0.8556,-0.225,1110065P20Rik
1190002F15Rik,Group,0.0008,0.0118,T4400,DESeq2,DMSO vs T4400,0.6015,-0.7334,1190002F15Rik
1190002N15Rik,Group,0.901,0.9527,T4400,DESeq2,DMSO vs T4400,0.9876,-0.0181,1190002N15Rik
1190005I06Rik,Group,0.4455,0.6517,T4400,DESeq2,DMSO vs T4400,0.6538,-0.6131,1190005I06Rik
1190007I07Rik,Group,0.8333,0.9161,DMSO,DESeq2,DMSO vs T4400,1.0294,0.0418,1190007I07Rik
1200014J11Rik,Group,0.849,0.9254,T4400,DESeq2,DMSO vs T4400,0.9904,-0.0139,1200014J11Rik
1300002E11Rik,Group,0.002,0.0216,DMSO,DESeq2,DMSO vs T4400,1.3317,0.4133,1300002E11Rik
1500004A13Rik,Group,0.764,0.8754,DMSO,DESeq2,DMSO vs T4400,1.039,0.0552,1500004A13Rik
1500009L16Rik,Group,0.0911,0.2503,T4400,DESeq2,DMSO vs T4400,0.6511,-0.619,1500009L16Rik
1500011B03Rik,Group,0.1372,0.3229,DMSO,DESeq2,DMSO vs T4400,1.2128,0.2784,1500011B03Rik
1500011K16Rik,Group,0.9727,0.9861,T4400,DESeq2,DMSO vs T4400,0.9968,-0.0046,1500011K16Rik
1500012F01Rik,Group,0.1766,0.379,DMSO,DESeq2,DMSO vs T4400,1.1255,0.1706,1500012F01Rik
1500015A07Rik,Group,0.5517,0.7339,DMSO,DESeq2,DMSO vs T4400,1.207,0.2714,1500015A07Rik
1500015O10Rik,Group,0.0075,0.0496,T4400,DESeq2,DMSO vs T4400,0.3929,-1.3477,1500015O10Rik
1500017E21Rik,Group,0.064,0.2007,DMSO,DESeq2,DMSO vs T4400,1.3489,0.4318,1500017E21Rik
1600002H07Rik,Group,0.3639,0.5825,T4400,DESeq2,DMSO vs T4400,0.9359,-0.0956,1600002H07Rik
1600002K03Rik,Group,0.3426,0.564,DMSO,DESeq2,DMSO vs T4400,1.0917,0.1265,1600002K03Rik
1600012H06Rik,Group,0.1498,0.3411,DMSO,DESeq2,DMSO vs T4400,1.0678,0.0946,1600012H06Rik
1600014C10Rik,Group,0.2168,0.4307,DMSO,DESeq2,DMSO vs T4400,1.1037,0.1424,1600014C10Rik
1600020E01Rik,Group,0.8359,0.918,DMSO,DESeq2,DMSO vs T4400,1.0247,0.0352,1600020E01Rik
1600027J07Rik,Group,0.0012,0.0159,T4400,DESeq2,DMSO vs T4400,0.1959,-2.3517,1600027J07Rik
1700001G11Rik,Group,0.5696,0.7482,DMSO,DESeq2,DMSO vs T4400,1.338,0.4201,1700001G11Rik
1700001G17Rik,Group,0.8231,0.9109,DMSO,DESeq2,DMSO vs T4400,1.1043,0.1431,1700001G17Rik
1700001K19Rik,Group,0.3085,0.5301,T4400,DESeq2,DMSO vs T4400,0.5874,-0.7675,1700001K19Rik
1700001L05Rik,Group,0,0.0021,DMSO,DESeq2,DMSO vs T4400,1.8865,0.9157,1700001L05Rik
1700001L19Rik,Group,0.2474,0.4659,T4400,DESeq2,DMSO vs T4400,0.5902,-0.7608,1700001L19Rik
1700001O22Rik,Group,0.2669,0.4887,DMSO,DESeq2,DMSO vs T4400,1.4252,0.5112,1700001O22Rik
1700003E16Rik,Group,0.4447,0.6514,DMSO,DESeq2,DMSO vs T4400,1.0951,0.1311,1700003E16Rik
1700003F12Rik,Group,0.0285,0.1194,DMSO,DESeq2,DMSO vs T4400,1.538,0.621,1700003F12Rik
1700007J10Rik,Group,0.6523,0.8055,T4400,DESeq2,DMSO vs T4400,0.8819,-0.1813,1700007J10Rik
1700007K13Rik,Group,0.5736,0.7505,DMSO,DESeq2,DMSO vs T4400,1.187,0.2473,1700007K13Rik
1700007L15Rik,Group,0.3109,0.5323,T4400,DESeq2,DMSO vs T4400,0.8471,-0.2394,1700007L15Rik
1700008J07Rik,Group,0.6501,0.8041,T4400,DESeq2,DMSO vs T4400,0.8888,-0.17,1700008J07Rik
1700009N14Rik,Group,0.6742,0.8179,DMSO,DESeq2,DMSO vs T4400,1.2341,0.3035,1700009N14Rik
1700011I03Rik,Group,0.9633,0.9821,T4400,DESeq2,DMSO vs T4400,0.9769,-0.0338,1700011I03Rik
1700012B09Rik,Group,0.2469,0.4652,DMSO,DESeq2,DMSO vs T4400,1.2663,0.3406,1700012B09Rik
1700012D01Rik,Group,0.415,0.6275,DMSO,DESeq2,DMSO vs T4400,1.2042,0.268,1700012D01Rik
1700012D14Rik,Group,0.4524,0.6581,DMSO,DESeq2,DMSO vs T4400,1.426,0.5119,1700012D14Rik
1700013G24Rik,Group,0.0485,0.1688,T4400,DESeq2,DMSO vs T4400,0.4492,-1.1546,1700013G24Rik
1700017B05Rik,Group,0.2367,0.4537,DMSO,DESeq2,DMSO vs T4400,1.0682,0.0951,1700017B05Rik
1700018A04Rik,Group,0.461,0.6653,DMSO,DESeq2,DMSO vs T4400,1.2738,0.3491,1700018A04Rik
1700019G17Rik,Group,0.4389,0.6465,DMSO,DESeq2,DMSO vs T4400,1.2375,0.3074,1700019G17Rik
1700019L03Rik,Group,0.0269,0.1153,DMSO,DESeq2,DMSO vs T4400,1.4811,0.5667,1700019L03Rik
1700020I14Rik,Group,0.4841,0.6828,T4400,DESeq2,DMSO vs T4400,0.9487,-0.076,1700020I14Rik
1700020L24Rik,Group,0.1643,0.3617,DMSO,DESeq2,DMSO vs T4400,1.186,0.2461,1700020L24Rik
1700021F05Rik,Group,0.1768,0.379,T4400,DESeq2,DMSO vs T4400,0.9181,-0.1232,1700021F05Rik
1700021K19Rik,Group,0.1937,0.4016,T4400,DESeq2,DMSO vs T4400,0.9583,-0.0615,1700021K19Rik
1700024P16Rik,Group,0.6886,0.827,DMSO,DESeq2,DMSO vs T4400,1.0733,0.102,1700024P16Rik
1700025G04Rik,Group,0.148,0.3388,T4400,DESeq2,DMSO vs T4400,0.8675,-0.2051,1700025G04Rik
1700026D08Rik,Group,0.0004,0.0082,DMSO,DESeq2,DMSO vs T4400,2.3738,1.2472,1700026D08Rik
1700026L06Rik,Group,0.4463,0.6525,DMSO,DESeq2,DMSO vs T4400,1.4582,0.5442,1700026L06Rik
1700028E10Rik,Group,0.9085,0.9563,DMSO,DESeq2,DMSO vs T4400,1.0684,0.0954,1700028E10Rik
1700028I16Rik,Group,0.4045,0.6188,T4400,DESeq2,DMSO vs T4400,0.6815,-0.5532,1700028I16Rik
1700028J19Rik,Group,0.9839,0.9915,DMSO,DESeq2,DMSO vs T4400,1.0045,0.0065,1700028J19Rik
1700028K03Rik,Group,0.0551,0.1827,DMSO,DESeq2,DMSO vs T4400,2.0682,1.0484,1700028K03Rik
1700029I15Rik,Group,0.8631,0.9348,T4400,DESeq2,DMSO vs T4400,0.948,-0.077,1700029I15Rik
1700029J03Rik,Group,0.0433,0.1566,T4400,DESeq2,DMSO vs T4400,0.5219,-0.938,1700029J03Rik
1700029J07Rik,Group,0.4647,0.6678,DMSO,DESeq2,DMSO vs T4400,1.1718,0.2287,1700029J07Rik
1700030J22Rik,Group,0.5215,0.7131,DMSO,DESeq2,DMSO vs T4400,1.0746,0.1037,1700030J22Rik
1700030K09Rik,Group,0.8646,0.9352,DMSO,DESeq2,DMSO vs T4400,1.0114,0.0163,1700030K09Rik
1700031A10Rik,Group,0.9737,0.9868,T4400,DESeq2,DMSO vs T4400,0.9888,-0.0162,1700031A10Rik
1700037C18Rik,Group,0.1246,0.3045,T4400,DESeq2,DMSO vs T4400,0.8228,-0.2815,1700037C18Rik
1700037H04Rik,Group,0.1166,0.2921,DMSO,DESeq2,DMSO vs T4400,1.1103,0.1509,1700037H04Rik
1700048M11Rik,Group,0.7613,0.8743,T4400,DESeq2,DMSO vs T4400,0.9144,-0.1292,1700048M11Rik
1700049G17Rik,Group,0.191,0.3981,DMSO,DESeq2,DMSO vs T4400,1.1159,0.1582,1700049G17Rik
1700052K11Rik,Group,0.4476,0.6537,T4400,DESeq2,DMSO vs T4400,0.9421,-0.086,1700052K11Rik
