ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,_row
GO:0006953,acute-phase response,11/218,52/25615,0.2115,24.8558,15.9538,5.8587e-13,1.8929e-9,4.19e-11,Ccl5/Il6/Lcn2/Il1a/Ptgs2/Ptges/Saa2/Serpina3n/Hp/Orm1/Saa3,11,GO:0006953
GO:0050878,regulation of body fluid levels,22/218,385/25615,0.0571,6.7143,10.4667,2.4377e-12,3.9381e-9,8.7167e-11,Prl2c2/Il6/F7/Hk2/Slc22a4/Kng2/Kng1/Cck/Apln/Comp/Plek/Kcnma1/Adm/Adm2/Thbd/Prl2c5/Gla/Mmp13/Angptl7/F13a1/Xdh/Tpsab1,22,GO:0050878
GO:0002526,acute inflammatory response,13/218,123/25615,0.1057,12.4187,11.761,4.6256e-11,4.9818e-8,1.1027e-9,Aoc3/Ccl5/Il6/Lcn2/Il1a/Ptgs2/Npy1r/Ptges/Saa2/Serpina3n/Hp/Orm1/Saa3,13,GO:0002526
GO:1901342,regulation of vasculature development,19/218,330/25615,0.0576,6.7652,9.7659,7.1583e-11,5.7821e-8,1.2798e-9,Ccl5/Mmp9/Prl2c2/Ccl2/Klf4/Cd40/Hk2/Il1a/Smoc2/Hmox1/Adm/Adm2/Camp/Dcn/Angptl7/Ptn/Itgb2/Cxcl10/Ccl11,19,GO:1901342
GO:0019730,antimicrobial humoral response,15/218,203/25615,0.0739,8.6823,10.1811,2.4742e-10,1.3535e-7,2.9959e-9,Ccl8/Ccl7/Ccl5/Ccl3/Ccl2/Slpi/Ppbp/Kng2/Kng1/Wfdc21/Adm/Camp/Cxcl5/Cxcl10/Ccl11,15,GO:0019730
GO:0032496,response to lipopolysaccharide,21/218,443/25615,0.0474,5.57,8.9894,2.5135e-10,1.3535e-7,2.9959e-9,Il6/Mmp8/Ccl2/S100a8/Slpi/Lcn2/Nos2/Slc22a4/Il1a/Ppbp/Ptgs2/Cd14/Trem2/Wfdc21/Adm/Camp/Prdm1/Havcr2/Cxcl5/Mgst1/Cxcl10,21,GO:0032496
GO:0045765,regulation of angiogenesis,18/218,323/25615,0.0557,6.548,9.2965,3.9087e-10,1.7167e-7,3.7997e-9,Ccl5/Mmp9/Prl2c2/Ccl2/Klf4/Cd40/Hk2/Il1a/Smoc2/Hmox1/Adm/Adm2/Camp/Dcn/Ptn/Itgb2/Cxcl10/Ccl11,18,GO:0045765
GO:0050900,leukocyte migration,20/218,412/25615,0.0485,5.7039,8.9177,4.5382e-10,1.7167e-7,3.7997e-9,Ccl8/Ccl7/Dbh/Aoc3/Ccl5/Ccl3/Cxcl1/Mmp9/Ccl2/F7/S100a8/Il1a/Itgb7/Ppbp/Trem2/Cxcl5/Ptn/Itgb2/Cxcl10/Ccl11,20,GO:0050900
GO:0002237,response to molecule of bacterial origin,21/218,459/25615,0.0458,5.3758,8.7644,4.7818e-10,1.7167e-7,3.7997e-9,Il6/Mmp8/Ccl2/S100a8/Slpi/Lcn2/Nos2/Slc22a4/Il1a/Ppbp/Ptgs2/Cd14/Trem2/Wfdc21/Adm/Camp/Prdm1/Havcr2/Cxcl5/Mgst1/Cxcl10,21,GO:0002237
GO:0060326,cell chemotaxis,18/218,330/25615,0.0545,6.4091,9.1627,5.5143e-10,1.7817e-7,3.9436e-9,Ccl8/Ccl7/Enpp2/Ccl5/Ccl3/Cxcl1/Mmp9/Ccl2/F7/S100a8/Ppbp/Smoc2/Cxcl5/Ptn/Itgb2/Cxcl10/Ccl11/Saa3,18,GO:0060326
GO:0006935,chemotaxis,21/218,476/25615,0.0441,5.1838,8.5365,9.1973e-10,2.384e-7,5.2768e-9,Ccl8/Ccl7/Enpp2/Ccl5/Ccl3/Cxcl1/Mmp9/Ccl2/F7/S100a8/Ppbp/Rtn4r/Trem2/Sema3g/Smoc2/Cxcl5/Ptn/Itgb2/Cxcl10/Ccl11/Saa3,21,GO:0006935
GO:0042330,taxis,21/218,478/25615,0.0439,5.1621,8.5104,9.9143e-10,2.384e-7,5.2768e-9,Ccl8/Ccl7/Enpp2/Ccl5/Ccl3/Cxcl1/Mmp9/Ccl2/F7/S100a8/Ppbp/Rtn4r/Trem2/Sema3g/Smoc2/Cxcl5/Ptn/Itgb2/Cxcl10/Ccl11/Saa3,21,GO:0042330
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,13/218,157/25615,0.0828,9.7293,10.1647,9.9191e-10,2.384e-7,5.2768e-9,Ccl8/Ccl7/Ccl5/Ccl3/Ccl2/Ppbp/Kng2/Kng1/Adm/Camp/Cxcl5/Cxcl10/Ccl11,13,GO:0061844
GO:0071621,granulocyte chemotaxis,12/218,128/25615,0.0938,11.0156,10.5245,1.0634e-9,2.384e-7,5.2768e-9,Ccl8/Ccl7/Ccl5/Ccl3/Cxcl1/Ccl2/S100a8/Ppbp/Cxcl5/Itgb2/Cxcl10/Ccl11,12,GO:0071621
GO:0045766,positive regulation of angiogenesis,14/218,191/25615,0.0733,8.6126,9.7837,1.1068e-9,2.384e-7,5.2768e-9,Ccl5/Mmp9/Prl2c2/Klf4/Cd40/Hk2/Il1a/Smoc2/Hmox1/Adm/Adm2/Camp/Itgb2/Ccl11,14,GO:0045766
GO:1904018,positive regulation of vasculature development,14/218,194/25615,0.0722,8.4794,9.6883,1.3566e-9,2.7394e-7,6.0636e-9,Ccl5/Mmp9/Prl2c2/Klf4/Cd40/Hk2/Il1a/Smoc2/Hmox1/Adm/Adm2/Camp/Itgb2/Ccl11,14,GO:1904018
GO:0097530,granulocyte migration,13/218,162/25615,0.0802,9.429,9.971,1.4598e-9,2.7746e-7,6.1414e-9,Ccl8/Ccl7/Ccl5/Ccl3/Cxcl1/Ccl2/S100a8/Il1a/Ppbp/Cxcl5/Itgb2/Cxcl10/Ccl11,13,GO:0097530
GO:0030595,leukocyte chemotaxis,15/218,233/25615,0.0644,7.5644,9.3258,1.6761e-9,3.0086e-7,6.6594e-9,Ccl8/Ccl7/Ccl5/Ccl3/Cxcl1/Mmp9/Ccl2/F7/S100a8/Ppbp/Cxcl5/Ptn/Itgb2/Cxcl10/Ccl11,15,GO:0030595
GO:0097529,myeloid leukocyte migration,15/218,243/25615,0.0617,7.2531,9.0739,2.9786e-9,5.0652e-7,1.1212e-8,Ccl8/Ccl7/Ccl5/Ccl3/Cxcl1/Mmp9/Ccl2/S100a8/Il1a/Ppbp/Trem2/Cxcl5/Itgb2/Cxcl10/Ccl11,15,GO:0097529
GO:0006959,humoral immune response,16/218,316/25615,0.0506,5.9494,8.202,1.4815e-8,0.0000023934,5.2977e-8,Ccl8/Ccl7/Ccl5/Ccl3/Ccl2/Slpi/Ppbp/Kng2/Kng1/Trem2/Wfdc21/Adm/Camp/Cxcl5/Cxcl10/Ccl11,16,GO:0006959
