"primary","shannon","simpson","invsimpson","observerd_index","chao1","ACE"
"DHMR001",8.30273140230434,0.999112963382324,1127.34917597889,14159,14218.94375,14199.7311476732
"DHMR002",8.34089958685068,0.999140318433704,1163.22140569801,14234,14246.3958333333,14240.2795965428
"DHMR003",8.30602270252912,0.999159533729891,1189.8157434327,14217,14231.1147540984,14225.0071156426
"DHMR004",8.33095622703769,0.999171503328911,1207.00545324511,14218,14231.9811320755,14224.9168861779
"DHMR005",8.33564785044573,0.999162561941427,1194.11816762163,14234,14241.0161290323,14239.5095202555
"DHMR006",8.32926313919406,0.999147289818112,1172.73139366699,14175,14230.8510638298,14210.5506070704
"DHMR007",8.37379314120774,0.99922754110079,1294.56725920704,14227,14236.2631578947,14233.2797946091
"DHMR008",8.33695637349521,0.999201813368179,1252.83982483969,14211,14226.7692307692,14219.0870106034
"DHMR009",8.34431980537984,0.999149272595483,1175.46466081938,14234,14245.4782608696,14239.8474407634
"DHMR010",8.33609477719562,0.999129622412298,1148.92664302157,14225,14237.7837837838,14234.3526146877
"DHMR011",8.33275446406012,0.999118057751476,1133.8610908752,14222,14241.1388888889,14233.7668402402
"DHMR012",8.35337573465147,0.999174106388556,1210.80970495868,14235,14242.2631578947,14238.9680223816
"DHMR013",8.32604529632673,0.99913107050981,1150.84136433426,14227,14238.8867924528,14233.6426715363
"DHMR014",8.36998477946906,0.999229547622143,1297.93875486737,14237,14239.7272727273,14239.523988154
"DHMR015",8.33102042839175,0.999178784838038,1217.70766824437,14232,14245.4426229508,14240.2438150696
"DHMR016",8.31733397839649,0.999103083200891,1114.93061674499,14111,14186.6052631579,14169.1486588237
"DHMR017",8.34607321150018,0.999171745624471,1207.35854774225,14220,14237.3653846154,14227.9696054896
"DHMR018",8.33842837992001,0.999156184349206,1185.09297505791,14160,14201.9496855346,14191.9620866522
"DHMR019",8.32594448783851,0.999151087855019,1177.97819940825,14147,14214.3548387097,14190.7372496153
"DHMR020",8.3219111683056,0.999146282453424,1171.34760086744,14206,14224.2835820896,14216.3585947513
"DHMR021",8.33806681717823,0.999130979929023,1150.7214083972,14174,14202.1481481481,14200.478346365
"DHMR022",8.32418373278508,0.999143342702565,1167.32794198334,14221,14228.6229508197,14226.744545743
"DHMR023",8.33846977354558,0.999193567834675,1240.02990331677,14233,14243.8181818182,14239.1921363541
"DHMR024",8.33356867958213,0.999170588232858,1205.67375532429,14219,14230.6666666667,14225.6922338914
