"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"__","Group",0.999999922365528,0.999999922365528,"IBS_before","DESeq2","IBS_before vs UC_before",1.00000000148603,2.14388652348554e-09
"g__Megamonas","Group",0.0928533460410896,0.285702603203353,"UC_before","DESeq2","IBS_before vs UC_before",0.260808794779832,-1.9389355751216
"g__","Group",0.949345512886932,0.997948012806442,"UC_before","DESeq2","IBS_before vs UC_before",0.980801410274942,-0.0279670414345213
"g__Bacteroides","Group",0.202763524309503,0.560176947500003,"IBS_before","DESeq2","IBS_before vs UC_before",1.46632376983318,0.552203691166185
"g__[Eubacterium]","Group",0.753319412886864,0.920704058070788,"UC_before","DESeq2","IBS_before vs UC_before",0.715997047004155,-0.481974457511304
"g__Clostridium","Group",0.761968366873382,0.920704058070788,"IBS_before","DESeq2","IBS_before vs UC_before",1.14310402746012,0.192956701077909
"g__Faecalibacterium","Group",0.366569510084103,0.771725284387586,"IBS_before","DESeq2","IBS_before vs UC_before",1.53625340310384,0.619416206455121
"g__[Ruminococcus]","Group",0.778881964899236,0.920704058070788,"IBS_before","DESeq2","IBS_before vs UC_before",1.10544741358326,0.144630397413648
"g__Streptococcus","Group",0.062763713788564,0.228231686503869,"IBS_before","DESeq2","IBS_before vs UC_before",2.28801545561077,1.19409679759607
"g__Parabacteroides","Group",0.707197960520237,0.920704058070788,"IBS_before","DESeq2","IBS_before vs UC_before",1.24090990601804,0.311398375049833
"g__Phascolarctobacterium","Group",0.828286569112602,0.920704058070788,"UC_before","DESeq2","IBS_before vs UC_before",0.834784769298787,-0.260523816212278
"g__Gemmiger","Group",0.437306771671066,0.823897242481734,"UC_before","DESeq2","IBS_before vs UC_before",0.594494639395638,-0.750264293751077
"g__Catenibacterium","Group",0.534160438918683,0.877548905662325,"UC_before","DESeq2","IBS_before vs UC_before",0.284871180341034,-1.81161841945995
"g__Actinomyces","Group",0.0119513740284338,0.0796758268562255,"IBS_before","DESeq2","IBS_before vs UC_before",3.41731250606818,1.7728621852385
"g__Rothia","Group",0.01030559866411,0.0796758268562255,"IBS_before","DESeq2","IBS_before vs UC_before",4.87327705046048,2.28489224345441
"g__Bifidobacterium","Group",0.00472393195788179,0.0523636272577309,"IBS_before","DESeq2","IBS_before vs UC_before",3.00218206674622,1.58601147157121
"g__Coprococcus","Group",0.234714133909533,0.560176947500003,"IBS_before","DESeq2","IBS_before vs UC_before",1.95438605364761,0.966715473790865
"g__Ruminococcus","Group",0.0927221939753974,0.285702603203353,"UC_before","DESeq2","IBS_before vs UC_before",0.478730218760153,-1.06271521910037
"g__Blautia","Group",0.00523636272577309,0.0523636272577309,"IBS_before","DESeq2","IBS_before vs UC_before",3.24234933601071,1.6970395375486
"g__Oscillospira","Group",0.806230733452398,0.920704058070788,"IBS_before","DESeq2","IBS_before vs UC_before",1.13163509482532,0.178408824110269
"g__Dialister","Group",0.23417098097894,0.560176947500003,"IBS_before","DESeq2","IBS_before vs UC_before",2.02142373993978,1.01537177764573
"g__Lactobacillus","Group",1.85539530166341e-05,0.000742158120665363,"IBS_before","DESeq2","IBS_before vs UC_before",7.6284480450097,2.93138958058444
"g__Granulicatella","Group",0.0579191528820883,0.228231686503869,"IBS_before","DESeq2","IBS_before vs UC_before",4.35320687968605,2.12207858369231
"g__Enterococcus","Group",0.0226380734015723,0.129360419437556,"IBS_before","DESeq2","IBS_before vs UC_before",7.05134588092959,2.81789864906129
"g__Turicibacter","Group",0.851651253715479,0.920704058070788,"UC_before","DESeq2","IBS_before vs UC_before",0.780828347769895,-0.356922664367892
"g__Prevotella","Group",0.540917638306508,0.877548905662325,"UC_before","DESeq2","IBS_before vs UC_before",0.640002734266126,-0.643850026175109
"g__Akkermansia","Group",0.723473923586548,0.920704058070788,"IBS_before","DESeq2","IBS_before vs UC_before",1.23054176706008,0.299293626595594
"g__Dorea","Group",0.0493045825364684,0.21913147793986,"IBS_before","DESeq2","IBS_before vs UC_before",2.08650624654929,1.0610892397253
"g__Lachnospira","Group",0.737316601054745,0.920704058070788,"UC_before","DESeq2","IBS_before vs UC_before",0.800499776393573,-0.321027095138869
"g__Roseburia","Group",0.00403137129567369,0.0523636272577309,"IBS_before","DESeq2","IBS_before vs UC_before",4.19264661618381,2.06786123548737
"g__Desulfovibrio","Group",0.548468066038953,0.877548905662325,"IBS_before","DESeq2","IBS_before vs UC_before",1.47140665364742,0.557196020299633
"g__Haemophilus","Group",0.413169054011833,0.823897242481734,"UC_before","DESeq2","IBS_before vs UC_before",0.524134018575892,-0.931992345694014
"g__Pseudomonas","Group",0.238075202687501,0.560176947500003,"IBS_before","DESeq2","IBS_before vs UC_before",2.10841117856,1.07615624620793
"g__Veillonella","Group",0.2851365464814,0.633636769958666,"IBS_before","DESeq2","IBS_before vs UC_before",1.74395186132821,0.802360217648339
"g__Megasphaera","Group",0.849110577644716,0.920704058070788,"IBS_before","DESeq2","IBS_before vs UC_before",1.19563576101373,0.25777795323738
"g__Collinsella","Group",0.733261378725292,0.920704058070788,"IBS_before","DESeq2","IBS_before vs UC_before",1.35927078096646,0.442832884687852
"g__Sutterella","Group",0.0473652014396704,0.21913147793986,"IBS_before","DESeq2","IBS_before vs UC_before",2.59209242893088,1.37411716281465
"g__Klebsiella","Group",0.453143483364954,0.823897242481734,"IBS_before","DESeq2","IBS_before vs UC_before",2.51634140496116,1.33132767334198
"g__Hydrogenophaga","Group",0.972999312486281,0.997948012806442,"UC_before","DESeq2","IBS_before vs UC_before",0.965461319410171,-0.0507096352070266
"g__Alistipes","Group",0.665011275061002,0.920704058070788,"UC_before","DESeq2","IBS_before vs UC_before",0.565585347657806,-0.822183349448742
