primary,PCoA1,PCoA2,PCoA3
J_XYL_F_0001_01,-0.3946,0.2048,0.1428
J_XYL_F_0001_02,-0.3321,0.2176,0.1104
J_XYL_F_0002_01,-0.0715,-0.2198,0.1214
J_XYL_F_0002_02,0.0999,-0.1336,0.1146
J_XYL_F_0003_01,0.0271,-0.3109,0.0139
J_XYL_F_0003_02,0.399,0.12,0.111
J_XYL_F_0004_01,0.0126,-0.221,0.0619
J_XYL_F_0004_02,0.0484,-0.1094,-0.0465
J_XYL_F_0005_01,-0.0042,-0.2544,0.0319
J_XYL_F_0005_02,-0.0743,-0.2004,0.0987
J_XYL_F_0006_01,-0.1894,-0.0835,-0.005
J_XYL_F_0006_02,-0.1627,0.0871,0.0497
J_XYL_F_0010_01,-0.0277,-0.2633,0.0482
J_XYL_F_0010_02,-0.0379,-0.2436,0.0968
J_XYL_F_0012_01,0.3536,0.1924,0.0102
J_XYL_F_0012_02,0.4167,0.2443,0.0347
J_XYL_F_0013_01,-0.0825,-0.116,-0.0367
J_XYL_F_0013_02,-0.1263,0.0213,-0.1094
J_XYL_F_0015_01,-0.1707,0.055,0.0507
J_XYL_F_0015_02,0.0157,-0.0726,-0.1052
J_XYL_F_0016_01,-0.1402,0.039,0.0182
J_XYL_F_0016_02,-0.1735,-0.0082,-0.0125
J_XYL_F_0018_01,-0.0117,-0.1659,0.1234
J_XYL_F_0018_02,-0.0398,-0.2521,-0.0193
J_XYL_F_0020_01,0.0428,-0.2448,0.1157
J_XYL_F_0020_02,-0.0982,-0.0026,-0.0903
J_XYL_F_0025_01,-0.1655,-0.1669,0.1224
J_XYL_F_0025_02,-0.166,-0.0937,0.1289
J_XYL_F_0031_01,0.2196,-0.0085,-0.0061
J_XYL_F_0031_02,0.1434,0.0242,0.067
J_XYL_F_0032_01,0.0309,-0.1582,-0.1101
J_XYL_F_0032_02,-0.0047,-0.1032,0.0454
J_XYL_F_0034_01,-0.0448,-0.0552,0.1131
J_XYL_F_0034_02,-0.2896,0.1833,0.1005
J_XYL_F_0036_01,-0.14,-0.2068,0.1225
J_XYL_F_0036_02,-0.0293,-0.1803,-0.0738
J_XYL_F_0043_01,0.0862,-0.1268,0.0594
J_XYL_F_0043_2,-0.1204,-0.2075,0.1325
J_XYL_F_0044_01,-0.2386,-0.1125,0.013
J_XYL_F_0044_02,-0.2291,0.0016,0.0458
J_XYL_F_0045_01,-0.3752,0.3206,0.0974
J_XYL_F_0045_2,-0.3886,0.302,0.0711
J_XYL_F_0046_01,-0.0135,-0.2306,0.0463
J_XYL_F_0046_02,-0.1965,-0.0221,0.1279
J_XYL_F_0047_01,-0.1871,0.0559,0.0145
J_XYL_F_0047_02,-0.1225,-0.0657,0.0679
J_XYL_F_0048_01,-0.398,0.3783,0.032
J_XYL_F_0049_02,-0.1736,-0.1308,0.0675
J_XYL_F_0050_01,-0.353,0.3066,-0.076
J_XYL_F_0050_02,-0.4692,0.4099,-0.0026
J_XYL_F_0051_01,-0.4,0.336,-0.0879
J_XYL_F_0051_02,0.1111,-0.1656,0.0534
J_XYL_F_0053_01,0.1885,-0.0643,0.1043
J_XYL_F_0053_02,0.146,-0.1248,0.0574
J_XYL_F_0057_01,-0.2661,0.0114,-0.2187
J_XYL_F_0057_02,0.0089,-0.1507,0.0327
J_XYL_F_0058_01,-0.3071,0.1708,-0.0294
J_XYL_F_0058_02,-0.0026,-0.133,0.0392
J_XYL_F_0059_01,-0.0468,-0.2161,-0.0368
J_XYL_F_0059_02,-0.0306,-0.1878,0.1339
J_XYL_F_0060_01,-0.102,0.0749,-0.0874
J_XYL_F_0060_02,0.3069,0.1083,-0.072
J_XYL_F_0061_01,0.0324,-0.1146,-0.2359
J_XYL_F_0061_02,-0.0273,-0.1128,-0.4074
J_XYL_F_0062_01,0.0708,-0.0909,-0.1416
J_XYL_F_0062_02,0.1204,0.0145,-0.0764
J_XYL_F_0064_01,-0.3355,0.2744,0.0116
J_XYL_F_0064_02,-0.2998,0.1377,0.1796
J_XYL_F_0065_01,-0.0461,-0.1558,0.1781
J_XYL_F_0065_02,-0.0796,-0.2784,0.1006
J_XYL_F_0066_01,-0.2682,0.1984,-0.15
J_XYL_F_0066_02,0.185,0.1039,-0.1342
K_XYL_F_0001_01,-0.1493,-0.0425,-0.2708
K_XYL_F_0001_02,0.3008,0.3975,0.0811
K_XYL_F_0002_01,-0.345,0.2932,0.0519
K_XYL_F_0002_02,0.1979,0.4482,0.1092
K_XYL_F_0003_01,-0.0056,-0.0285,-0.2488
K_XYL_F_0003_02,-0.247,0.3486,0.0709
K_XYL_F_0004_01,-0.3476,0.1426,0.0288
K_XYL_F_0004_02,-0.1492,0.3969,0.064
K_XYL_F_0005_01,-0.0507,-0.0918,-0.0953
K_XYL_F_0005_02,0.4033,0.2075,-0.0639
K_XYL_F_0007_01,-0.2408,-0.0588,0.0859
K_XYL_F_0007_02,-0.1353,-0.095,0.1421
K_XYL_F_0008_01,-0.1947,-0.1005,0.1534
K_XYL_F_0008_02,-0.2733,0.0709,0.1857
K_XYL_F_0009_01,0.1015,-0.2599,0.1463
K_XYL_F_0009_02,0.0441,-0.104,0.1282
K_XYL_F_0009_03,0.4038,0.0396,0.1679
K_XYL_F_0011_01,-0.0588,-0.2073,-0.064
K_XYL_F_0011_02,0.0727,-0.1592,-0.1301
K_XYL_F_0012_01,0.0563,-0.25,0.0817
K_XYL_F_0012_02,0.3891,0.0651,0.1408
K_XYL_F_0013_01,-0.0158,-0.107,-0.1845
K_XYL_F_0013_02,0.3388,0.1851,-0.0989
K_XYL_F_0017_01,0.0455,-0.0234,-0.1308
K_XYL_F_0017_02,-0.2472,0.1044,-0.0796
K_XYL_F_0018_01,0.3179,0.2014,-0.1106
K_XYL_F_0018_02,0.0272,-0.0857,-0.3492
K_XYL_F_0022_01,-0.0148,-0.0371,-0.3078
K_XYL_F_0022_02,0.3615,0.1163,0.1162
K_XYL_F_0028_01,-0.0377,-0.0137,-0.4367
K_XYL_F_0028_02,0.0014,-0.0808,-0.3458
K_XYL_F_0030_02,0.0211,-0.1827,-0.049
K_XYL_F_0030_03,0.0218,-0.0026,-0.2823
K_XYL_F_0033_01,0.3475,0.0535,-0.0235
K_XYL_F_0033_02,0.4074,0.23,0.0018
K_XYL_F_0035_01,-0.0065,-0.2737,0.0271
K_XYL_F_0035_02,-0.0577,-0.2776,0.0993
K_XYL_F_0035_03,-0.0985,-0.1653,-0.1413
K_XYL_F_0036_01,-0.041,-0.1491,-0.0708
K_XYL_F_0036_02,0.1807,-0.0763,0.0866
K_XYL_F_0037_01,0.3935,0.2092,0.0065
K_XYL_F_0037_02,0.3901,0.1657,0.039
K_XYL_F_0038_01,0.1501,0.2429,-0.0358
K_XYL_F_0038_02,0.3829,0.155,0.011
